idcvlac,autores,nombre,lugar,verificado,fecha,editorial,isbn,volumen,paginas,palabras,areas,sectores,capitulo,libro
0001494646,"VANESSA AGREDO DELGADO, PABLO HERNANDO RUIZ MELENJE, CESAR ALBERTO COLLAZOS ORDONEZ",,Colombia,False,2017,"Springer Publishing Company, Inc.",1865-0929,,1 - 15,,,,Software Tool to Support the Improvement of the Collaborative Learning Process,Communications in Computer and Information Science
0001494646,"VANESSA AGREDO DELGADO, PABLO HERNANDO RUIZ MELENJE, CESAR ALBERTO COLLAZOS ORDONEZ",,Estados Unidos,False,2018,"Springer Publishing Company, Inc.",978-3-319-91743-6,,337 - 349,,,,Towards a Framework Definition to Increase Collaboration and Achieve Group Cognition,"Learning and Collaboration Technologies. Design, Development and Technological Innovation"
0001494646,"VANESSA AGREDO DELGADO, PABLO HERNANDO RUIZ MELENJE, CESAR ALBERTO COLLAZOS ORDONEZ",,Colombia,False,2019,"Springer Publishing Company, Inc.",-978-3-030-37385-6,,356 - 368,,,,Structure of a guide for usability evaluation in virtual learning environments,HCI-COLLAB 2019: V Iberoamerican Workshop on Human-Computer Interaction
0001494646,"VANESSA AGREDO DELGADO, PABLO HERNANDO RUIZ MELENJE, CESAR ALBERTO COLLAZOS ORDONEZ",,Colombia,False,2019,"Springer Publishing Company, Inc.",-978-3-030-37385-6,,17 - 29,,,,A reformation proposal of the Process phase in the computer-supported collaborative learning,HCI-COLLAB 2019: V Iberoamerican Workshop on Human-Computer Interaction
0001494646,"VANESSA AGREDO DELGADO, PABLO HERNANDO RUIZ MELENJE, CESAR ALBERTO COLLAZOS ORDONEZ",,México,False,2020,"Springer Publishing Company, Inc.",-978-3-030-37385-6,,143 - 156,,,,A Usability Evaluation Guide in Virtual Learning Environments,HCI-COLLAB 2019: V Iberoamerican Workshop on Human-Computer Interaction
0001368173,ALEX ARMANDO TORRES BERMUDEZ,,Colombia,True,2016,Editorial Bonaventuriana,978-958-8785-83-7,,161 - 173,,,,Aporte Significativo de la plataforma u-CSCL al Aprendizaje: Una Experiencia en la Corporación Universitaria Comfacauca,ENTORNOS UBICUOS Y COLABORATIVOS (U-CSCL) PARA AMBIENTES DE ENSEÑANZA-APRENDIZAJE DE COMPETENCIAS PROFESIONALES
0001368173,"SILVANA VANESA ACIAR, MAYELA COTO CHOTTO, ALEX ARMANDO TORRES BERMUDEZ, CESAR ALBERTO COLLAZOS ORDONEZ",,Colombia,True,2016,Editorial Bonaventuriana,978-958-8785-83-7,,51 - 66,,,,Plataforma colaborativa y ubica u-CSCL,ENTORNOS UBICUOS Y COLABORATIVOS (U-CSCL) PARA AMBIENTES DE ENSEÑANZA-APRENDIZAJE DE COMPETENCIAS PROFESIONALES
0001368173,ALEX ARMANDO TORRES BERMUDEZ,,,False,2022,"Springer Publishing Company, Inc.",978-981-19-1610-6,,409 - 417,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,Senior Citizens? Training Experience in Secure Electronic Payment Methods,Proceedings of Seventh International Congress on Information and Communication Technology
0001368173,ALEX ARMANDO TORRES BERMUDEZ,,México,False,2022,"Springer Publishing Company, Inc.",978-3-031-18082-8,,434 - 450 1659,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,Integration of a Virtual Object on Formative Object Oriented Programming for the Emavi Military Aviation School Cadets,Telematics and Computing
0001368173,ALEX ARMANDO TORRES BERMUDEZ,,México,False,2022,"Springer Publishing Company, Inc.",978-3-031-18082-8,,394 - 409 1865-,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,Senior Citizens? Training Experience in Secure Electronic Payment Methods,Telematics and Computing
0001417846,"ANGELA PATRICIA VILLAREAL FREIRE, ANDRES FELIPE AGUIRRE AGUIRRE, CESAR ALBERTO COLLAZOS ORDONEZ",,Colombia,False,2017,"Springer Publishing Company, Inc.",3319586378,,142 - 161,,,,emovle- an interface design guide-through the design of emotive virtual learning environments,"Design, User Experience, and Usability: Designing Pleasurable Experiences : 6th International Conference, DUXU 2017, Held as Part of HCI International 2017, Vancouver, BC, Canada, July 9-14, 2017, Proceedings, Part II"
0001417846,"ANDRES FELIPE AGUIRRE AGUIRRE, ANGELA PATRICIA VILLAREAL FREIRE, CESAR ALBERTO COLLAZOS ORDONEZ",,Colombia,False,2017,Springer Ny,978-3-319-58637-3,,142 - 161,,,,emovle- an interface design guide-through the design of emotive virtual learning environments,"LIBRO Design, User Experience, and Usability: Designing Pleasurable Experiences"
0001361780,"CLARA LUCIA BURBANO GONZALEZ, LILIANA VARGAS AGREDO",,Colombia,False,2015,Gobernacion Del Cauca,9789585861541,,218 - 227,,,,"APLICACIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN, PARA LA VALORACIÓN DEL PATRIMONIO CULTURAL - POPAYÁN",Memorias Del 1 Encuentro Internacional De Grupos De Investigación
0001361780,CLARA LUCIA BURBANO GONZALEZ,,Colombia,False,2016,Editorial REDIPE,978-1-945570-09-4,,59 - 64 I,"B-Learning, Tecnologías del Aprendizaje y conocimiento ",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,,"Aplicacion de Tecnologias de Objetos de Aprendizaje (TOA), dirigido a la primera infancia y juventud, como aporte a la salvaguardia de las procesiones de Semana Santa, en Popayan Colombia""","Simposio Internacional del Pacifico: Educación, Cultura Emprendimiento y sociedad"
0001361780,"CLARA LUCIA BURBANO GONZALEZ, KATERINE MARCELES VILLALBA",,Colombia,False,2017,Editorial REDIPE,978-1-945570-44-5,,25 - 37,"Seguridad, Tecnologías del Aprendizaje y conocimiento , Aprendizaje Colaborativo","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Telecomunicaciones","Desarrollo de programas (software) y prestación de servicios en informática - Otras actividades de prestación de servicios en informática, Educación - Educación superior","Aplicativos moviles en procesos de Aprendizaje, en el área de Seguridad Informática",II Simposio Internacional Pedagogía y construcción de Ámbitos de Educacion. La Función de Educar.
0001361780,"CLARA LUCIA BURBANO GONZALEZ, KATERINE MARCELES VILLALBA, MARIA ISABEL VIDAL CAICEDO",,Colombia,False,2017,Editorial REDIPE,978-1-945570-44-5,,42 - 56,"Espacios Virtuales de Enseñanza y Aprendizaje, Mediaticas Educativas",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,Educación - Educación superior,Reflexiones Integradoras en procesos de investigación y el aporte que realiza Colciencias a los Grupos de Investigación en la Educacion Supèrior,Pedagogía y Construcción de Ámbitos de Educación. La Función de Educar.
0001361780,"JULIO RICARDO MARTINEZ MONTEZUMA, CLARA LUCIA BURBANO GONZALEZ",,Colombia,False,2018,Sello Editorial Tecnologico Comfenalco,978-958-56891-8-3,,85 - 86 1,"Dignidad Social, Espacios Virtuales de Enseñanza y Aprendizaje, Mediaticas Educativas, Pedagogia -Didactica - Curriculo",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,Educación - Educación preescolar y básica,"Estudio de Caso: Apropiacion de Entornos personales de Aprendizaje (PLE), en relacion al uso de tecnologias, en la Institución Educativa Técnica Agropecuaria Nuestra Señora de los Remedios de Bolivar Cauca.",Tendencias en educación en y para la diversidad apoyada en las TIC
0001361780,"CLARA LUCIA BURBANO GONZALEZ, JULIO RICARDO MARTINEZ MONTEZUMA",,Colombia,False,2018,Sello Editorial Tecnologico Comfenalco,978-958-56891-8-3,,91 - 92 1,"Pedagogia -Didactica - Curriculo, Espacios Virtuales de Enseñanza y Aprendizaje, B-Learning, Recursos de Informacion y comunicacion RIC, Sociedad del conocimiento",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,Educación - Educación superior,"Estudio de Caso: Ecologías del Aprendizaje, en Relación a la Interacción con entornos Personales de Aprendizaje",Tendencias en educación en y para la diversidad apoyada en las TIC
0001361780,"LEANDRO FLOREZ ARISTIZABAL, CLARA LUCIA BURBANO GONZALEZ",,Portugal,False,2021,"Springer Publishing Company, Inc.",978-65-00-01193-7,,163 - 172,"Aprendizaje Colaborativo, Espacios Virtuales de Enseñanza y Aprendizaje, La técnica , Juegos Serios, Mediaticas Educativas",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,,Towards a Computer-Supported Collaborative Learning Approach for an Object-Oriented Programming Course,Advances in intelligent systems and computing
0001361780,CLARA LUCIA BURBANO GONZALEZ,,Suiza,False,2021,Springer,978-3-030-89585-3,,35 - 61,"Human - computer Interaction (HCI), Learning , Espacios Virtuales de Enseñanza y Aprendizaje, Seguridad, Tecnologías de la Información y comunicacio , Seguridad Informatica","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Telecomunicaciones",,"Integration of Rural and Urban Training in Teachers, Students and Older Adults in Computer Security Mediated by Technology.",Telematics and Computing
0001361780,CLARA LUCIA BURBANO GONZALEZ,,Colombia,True,2016,REDIPE,978-958-59087-3-4,,54 - 60,,,,"Aplicacion de Tecnologias de objeto de Aprendizaje (TOA), dirigido a la primera infancia y juventud, como aporte a la Salvaguardia de las procesiones de semana santa",Las Instituciones Educativas: Eslabones Vitales.
0001361780,"CLARA LUCIA BURBANO GONZALEZ, DIANA CAROLINA BURBANO GONZALEZ, KATERINE MARCELES VILLALBA",,Colombia,True,2015,REDIPE,978-958-59087-3-4,,337 - 353 1,"Espacios Virtuales de Enseñanza y Aprendizaje, B-Learning, Tecnologías de la Información y comunicacio , Tecnologías del Aprendizaje y conocimiento , Recursos de Informacion y comunicacion RIC",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,Educación - Educación superior,"Tecnologias del Aprendizaje y conocimiento (TAC), por medio de la Modalidad B-Learning, para el desarrollo, de un OVA; como aporte a la Sociedad del Conocimeinto",Las Instituciones Educativas: Eslabones Vitales.
0001361780,CLARA LUCIA BURBANO GONZALEZ,,Colombia,True,2015,REDIPE,978-958-59087-3-4,,262 - 288 1,,,,La influencia de las TIC en la educación superior un apoyo en el proceso de enseñanza aprendizaje,Las Instituciones Educativas: Eslabones Vitales.
0001361780,"CLARA LUCIA BURBANO GONZALEZ, ALEX ARMANDO TORRES BERMUDEZ, MIGUEL ANGEL CASTILLO LEIVA",,Inglaterra,False,2022,Springer,978-981-19-1610-6,,409 - 417,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,Senior Citizens? Training Experience in Secure Electronic Payment Methods,Proceedings of Seventh International Congress on Information and Communication Technology
0001361780,"ALEX ARMANDO TORRES BERMUDEZ, CLARA LUCIA BURBANO GONZALEZ",,México,False,2022,Springer,978-3-031-18081-1,,434 - 450,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,Integration of a Virtual Object on Formative Object Oriented Programming for the Emavi Military Aviation School Cadets,Telematics and Computing
0001462299,"EVER GREGORIO MARTINEZ ROMERO, INGRID JURANI GONZALEZ ESCUE, LIMBANIA ROCIO SALINAS CAMPO",,Colombia,True,2017,Editorial Redipe- Red de Pedagogía SAS,978-958-8967-20-2,,171 - 174,"Abono orgánico, Cultivo de Café, Té de Vermicompost",Ciencias Agrícolas -- Biotecnología Agrícola -- Biotecnología Agrícola y de Alimentos,"Agricultura, pecuaria, silvicultura, explotación forestal - Otro",EVALUACIÓN DEL TÉ DE VERMICOMPOST DE LOMBRIZ ROJA CALIFORNIANA (Eisenia foetida) EN EL CULTIVO DE CAFÉ (Coffea arabica) VARIEDAD CASTILLO,"Dirección, Gestión, Liderazgo y Política Educativa"
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,,Colombia,False,2018,Instituto Antioqueño de Investigación,978-958-59127-9-3,,129 - 136 N/A,Evaluación,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",Educación - Educación superior,Estudio comparativo de métodos de evaluación de usabilidad para sitios web,DESARROLLO E INNOVACIÓN EN INGENIERÍA
0001353314,"WILMAR YESID CAMPO MUNOZ, GABRIEL ELIAS CHANCHI GOLONDRINO",,Suiza,False,2019,Springer Verlag Publishing Company,978-3-030-37385-6,,124 - 137,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,Automation of usability inspections for websites,"Human Computer Interaction - 5th Iberoamerican Workshop, HCI-Collab 2019"
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,,Suiza,False,2018,Springer Verlag Publishing Company,978-3-030-05269-0,,199 - 213,,,,Proposal of an open hardware-software system for the recognition of emotions from physiological variables,"Human Computer Interaction - 5th Iberoamerican Workshop, HCI-Collab 2018"
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,,Colombia,False,2020,Editorial Pontificia Bolivariana,978-958-764-796-9,,83 - 107,,,,Diseño de un modelo para la construcción de juegos serios aplicados a la enseñanza-aprendizaje de física cinemática en educación media,Innovación educativa en Iberoamérica
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,,,False,2020,Springer Verlag Publishing Company,978-3-030-51368-9,,229 - 235,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,Improve Accessibility and Visibility of Selected University Websites,Advances in Human Factors and Systems Interaction
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, CLAUDIA PATRICIA MUNOZ GUERRERO",,Colombia,False,2015,Acofi Asociacion Colombiana De Facultades De Ing,978-958-680-076-1,,66 - 66,"aprendizaje por proyectos, experiencias académicas, comunidad académica","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,EXPERIENCIAS ACADÉMICAS EN LA FACULTAD DE INGENIERÍA DE LA INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DEL CAUCA,Memorias Encuentro Internacional de Educación en Ingeniería
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, MARIA ISABEL VIDAL CAICEDO",,Colombia,False,2016,Acofi Asociacion Colombiana De Facultades De Ing,-978-958-680-079-2,,118 - 118,"escenario de gamificación, lenguaje lpp, programación","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,"CODIFICADOS, UN ESCENARIO DE GAMIFICACIÓN PARA EL APOYO A PROCESOS DE ENSEÑANZA-APRENDIZAJE DE PROGRAMACIÓN",Memorias Encuentro Internacional de Educación en Ingeniería 2016
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, DIEGO FABIAN DURAN DORADO, JOSE LUIS ARCINIEGAS HERRERA",,Colombia,True,2017,"Springer Publishing Company, Inc.",978-3-319-63320-6,,47 - 61,"educational competency, metadata, Recommender system , Semantics , Interactive digital television","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,A Semantic Recommender System for iDTV Based on Educational Competencies,Applications and Usability of Interactive TV
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,,Colombia,False,2017,Instituto Antioqueño de Investigación,978-958-59127-6-2,,308 - 317,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería Eléctrica y Electrónica",,"Recomendaciones para el diseño e implementación de aplicaciones web accesibles, teniendo en cuenta la norma NTC 5854",Investigación Formativa en Ingeniería
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,,Colombia,False,2017,Acofi Asociacion Colombiana De Facultades De Ing,978-958-680-080-8,,167 - 176,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,Propuesta de un juego serio para la enseñanza-aprendizaje de la física cinemática en educación media,Memorias Encuentro Internacional de Educación en Ingeniería - ACOFI 2017
0001353314,GABRIEL ELIAS CHANCHI GOLONDRINO,,Colombia,False,2019,Corporación CIMTED,978-958-52097-0-1,,38 - 53,,,,Capítulo 3: Recomendaciones de usabilidad para el diseño de sitios web dirigidos a la población infantil,"Ingenieria, Tecnología y automatización: Innovacion y desarrollo"
0001353314,"WILMAR YESID CAMPO MUNOZ, GABRIEL ELIAS CHANCHI GOLONDRINO",,Colombia,False,2019,Ediciones Universidad Tecnologica de Bolivar,978-958-8862-54-2,,383 - 392,,,,Escenario IoT para el soporte de agricultura de precisión,Ciencias Computacionales - Memorias 13CCC
0001353314,"GABRIEL ELIAS CHANCHI GOLONDRINO, DARLY MILDRED DELGADO AGUDELO, DIEGO FERNANDO GIRON TIMANA, KATERINE MARCELES VILLALBA",,Colombia,False,2019,Ediciones Universidad Tecnologica de Bolivar,978-958-8862-54-2,,203 - 218,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,"Análisis de la satisfacción en pruebas de usabilidad, a partir de la expresión facial",Ciencias Computacionales - Memorias 13CCC
0001365599,"BERND BLOBEL, GUSTAVO ANDRES URIBE GOMEZ",,Suiza,False,2020,IOS Press,978-1-64368-082-8,,1089 - 1094,,,,Autonomous Systems and Artificial Intelligence in Healthcare Transformation to 5P Medicine ¿ Ethical Challenge,Digital Personalized Health and Medicine
0001365599,"GUSTAVO ANDRES URIBE GOMEZ, STEFAN SCHULZ, DIEGO MAURICIO LOPEZ GUTIERREZ, BERND BLOBEL",,Suiza,False,2020,IOS Press,978-1-64368-082-8,,352 - 356,,,,Ontology-Based and Architecture-Based Method for the Development of Interoperable Care Systems for Type 2 Diabetes Mellitus,Digital Personalized Health and Medicine
0000523496,GUSTAVO EDUARDO CONSTAIN MORENO,,Colombia,False,2008,Universidad Nacional Abierta y a Distancia,978-958-651-481-1,,49 - 65 1,,,,Repositorio de objetos de aprendizaje en escenarios digitales colaborativos: Una mirada general,Diseño De Ambientes Digitales Para El Aprendizaje Autonomo : Incorporación De Agentes Inteligentes Y Escenarios De Trabajo Colaborativo
0000523496,"GUSTAVO EDUARDO CONSTAIN MORENO, CONCEPCION BARREDA RAMIREZ, PAULA ANDREA MORA PEDREROS",,Colombia,True,2018,"Springer Publishing Company, Inc.",978-3-030-05269-0,,21 - 32,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",,"Determination of the Appropriation Level in the Collaborative Work, a Challenge in Distance Education Focused on E-learning",Communications in Computer and Information Science
0001253220,INGRID PAOLA SOLANO BENITEZ,,Colombia,False,2011,Subdirección de Educación de CAFAM,978-958-99963-0-0,,1 - 7,,,,MODELO DIMENSIONAL DE BODEGAS DE DATOS ADAPTABLE A EMPRESAS MIPYMES DE VENTAS AL DETAL,La Investigación Y La Competitividad Mipyme
0001253220,INGRID PAOLA SOLANO BENITEZ,,Colombia,False,2011,Subdirección de Educación de CAFAM,978-958-99963-0-0,,1 - 6,,,,HERRAMIENTAS COMPUTACIONALES AL SERVICIO DE LA PRODUCCIÓN APÍCOLA PARA EL DEPARTAMENTO DEL CAUCA.,La Investigación Y La Competitividad Mipyme
0001253220,"INGRID PAOLA SOLANO BENITEZ, SILVIA MARGARITA BALDIRIS NAVARRO, YULIANA VANESA PUERTA CRUZ",,Colombia,True,2018,Editorial Universidad Manuela Beltrán,978-958-5467-10-1,,69 - 75,,,,"Experiencia De Creación De Un Recurso Educativo Abierto, Inclusivo y Accesible En El Área De Introducción A Los Sistemas.",Tecnologías de la información y comunicación al servicio de la educación
0000374920,"JAIR MENDOZA CEBALLOS, CESAR ALBERTO COLLAZOS ORDONEZ",,España,False,2014,Impreso por La Universidad de Las Palmas de Gran Canaria,978-84-617-1860-3,,189 - 201 1,"Aprendizaje Colaborativo, CSCL, Pedagogia","Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía), Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones","Educación - Educación superior, Educación - Formación permanente y otras actividades de enseñanza, incluso educación a distancia y educación especial",Entornos Colaborativos y Ubicuos para el Aprendizaje Significativo,Libro De Actas De Las I Jornadas Iberoamericanas De Innovación Educativa En El Ámbito De Las Tic
0000374920,"JAIR MENDOZA CEBALLOS, CESAR ALBERTO COLLAZOS ORDONEZ",,México,False,2015,Etelvina Archundia Sierra Benemérita Universidad Autónoma de Puebla,978-607-487-889-9,,25 - 38 11,,"Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria",,Recursos Digitales Colaborativos y su Uso en el Aprendizaje Ubicuo,Sistemas Colaborativos Digitales: Ambientes Naturales De Aprendizaje
0000374920,"JAIR MENDOZA CEBALLOS, CESAR ALBERTO COLLAZOS ORDONEZ",,España,False,2016,Impreso por La Universidad de Las Palmas de Gran Canaria,978-84-608-9007-2,,87 - 93,"Aprendizaje Ubicuo, Redes Sociales","Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía), Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones","Educación - Educación superior, Educación - Formación permanente y otras actividades de enseñanza, incluso educación a distancia y educación especial",Las Redes Sociales y Aprendizaje Ubicuo,InnoEducaTIC 2016 - III Jornadas Iberoamericanas de Innovación Educativa en el ámbito de las TIC. Las Palmas de Gran Canaria. Nov. 17 y 18 de 2016.
0001365784,JOSE FERNANDO CONCHA GONZALEZ,,Colombia,False,2016,Editorial Bonaventuriana,978-958-8785-83-7,,161 - 174,,,,Aporte Significativo De La Plataforma u-CSCL al Aprendizaje. Una Experiencia En La Corporación Universitaria Comfacauca,ENTORNOS UBICUOS Y COLABORATIVOS (U-CSCL) PARA AMBIENTES DE ENSEÑANZA-APRENDIZAJE DE COMPETENCIAS PROFESIONALES
0001492988,"KATERINE MARCELES VILLALBA, CLARA LUCIA BURBANO GONZALEZ, DIANA CAROLINA BURBANO GONZALEZ",,Colombia,True,2015,Redipe,9789585908734,,337 - 353,Ova,Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software),", TECNOLOGIAS DEL APRENDIZAJE Y CONOCIMIENTO (TAC), POR MEDIO DE LA MODALIDAD B-LEARNING, PARA EL DESARROLLO DE UN OVA; COMO APORTE A LA SOCIEDAD DEL CONOCIMIENTO",Las Instituciones Educativas: Eslabones Vitales
0001492988,"KATERINE MARCELES VILLALBA, GABRIEL ELIAS CHANCHI GOLONDRINO, MANUEL ESTEBAN JARAMILLO REINEL, ANDRES FELIPE MERA TROCHEZ",,Colombia,False,2018,researchandinnovationbook,978-1-944645-88-5,,138 - 139,"Aprendizaje, Café, Colaborativo, Juegos serios, Videojuego","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software),Herramienta TIC enfocada al manejo adecuado del sembrado del Café: Coffe Fun,Memorias del seminario de innovaciones educativas y MOOC - SINNEM18
0001492988,"KATERINE MARCELES VILLALBA, MARIA LILIA IDROBO, MARGUI FERNANDA SAENZ TOBAR, MARIA ISABEL VIDAL CAICEDO, CLARA LUCIA BURBANO GONZALEZ, GABRIEL ELIAS CHANCHI GOLONDRINO",,Colombia,False,2019,Editorial Bonaventuriana,978-958-8414-57-9,,498 - 506,"Colaborativo, Ecologias, Video Juego, usabilidad, Reciclaje","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",Educación - Educación preescolar y básica,Implementación de una estrategia didáctica para el manejo de residuos en el proceso de formación de básica primaria,Ingeniería Colaborativa aplicaciones y uso desde la perspectiva de la interacción Humano Computador
